@relation NoLatd5_sum

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data
0,0,8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,9,N
3,1,41,0,5,3,41,9,0,0,0,1,0,11,4,0,0,0,0,0,0,0,0,0,1,0,N
0,1,32,0,0,11,31,3,0,0,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,4,N
1,2,19,0,1,7,40,7,0,0,1,0,0,16,11,0,0,0,0,0,0,0,0,0,1,3,N
6,10,54,0,7,8,50,20,0,0,2,0,1,15,14,0,0,0,0,0,0,0,0,0,1,11,N
1,3,29,0,0,11,34,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,5,N
28,30,64,2,37,10,146,47,0,5,16,22,20,101,53,0,0,0,0,0,9,4,5,8,42,280,N
25,23,58,2,37,11,159,45,0,4,17,22,19,97,53,0,0,0,0,1,7,3,5,9,40,282,N
21,24,41,2,25,4,118,31,0,2,15,20,18,101,68,0,0,0,0,1,8,1,3,10,46,235,N
24,34,66,4,34,9,137,48,0,1,13,20,19,91,46,0,0,0,0,0,5,3,4,7,43,266,N
28,31,51,3,39,10,127,48,0,2,12,25,15,109,59,0,0,0,0,2,8,4,3,7,40,280,N
19,26,165,0,15,12,137,38,0,0,5,3,1,50,213,0,0,0,0,0,0,0,0,0,5,86,N
4,4,7,0,4,0,5,8,0,0,0,1,2,5,16,0,0,0,0,0,0,0,0,1,0,80,N
0,1,10,0,0,0,4,9,0,0,0,0,0,5,43,0,0,0,0,0,0,0,0,0,0,36,N
4,1,4,1,5,0,7,8,0,1,0,0,0,2,9,0,0,0,0,1,1,0,0,1,0,79,N
5,2,1,1,17,2,1,5,0,5,1,4,7,3,12,0,0,1,2,0,5,2,1,0,1,27,N
8,0,3,7,21,0,1,10,0,17,9,8,10,1,4,0,10,10,27,21,19,2,8,7,2,3,N
1,1,9,2,10,2,9,1,0,3,20,7,9,29,10,0,0,0,1,2,9,9,4,5,9,22,N
1,0,0,7,4,2,1,0,1,11,2,3,2,0,0,0,3,3,5,0,8,1,1,6,1,2,N
3,2,15,0,11,1,29,7,0,1,5,1,7,21,11,0,0,0,0,1,4,2,0,5,7,43,N
4,0,10,0,12,1,33,7,0,1,5,2,7,20,14,0,0,0,0,1,5,2,0,4,8,46,N
2,3,9,0,7,0,1,4,0,7,6,3,8,2,3,0,2,4,3,13,8,1,2,15,3,6,N
6,5,66,0,6,2,38,10,0,0,0,6,0,20,55,0,0,0,0,0,0,0,0,1,2,26,N
2,8,66,1,1,5,41,16,0,2,1,4,2,19,69,0,0,1,0,2,1,2,0,3,2,18,N
3,10,65,0,4,4,40,13,0,0,0,6,3,22,62,0,0,1,0,1,0,0,0,0,2,21,N
4,9,74,0,4,5,44,14,0,0,1,7,1,25,63,0,0,0,0,0,0,0,0,4,3,21,N
4,6,65,0,6,1,36,12,0,0,1,6,0,20,52,0,0,0,0,1,2,3,0,2,3,29,N
5,7,65,0,6,3,52,13,0,0,0,5,1,28,58,0,0,0,0,0,2,0,0,2,2,22,N
4,7,74,0,8,4,43,17,0,0,3,6,2,27,69,0,0,0,0,0,0,0,0,0,2,19,N
7,9,70,0,8,5,45,14,0,0,0,4,1,25,64,0,0,0,0,0,0,0,0,0,1,18,N
2,5,62,0,4,4,44,10,0,0,0,4,2,24,78,0,0,0,0,0,0,0,0,0,2,16,N
5,7,72,0,6,4,52,13,0,0,0,4,2,28,69,0,0,0,0,0,0,0,0,0,3,17,N
5,7,69,0,4,6,51,18,0,1,1,4,1,26,70,0,0,0,0,0,0,0,0,0,3,16,N
