@relation Latd5_sum

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data
10,54,20,0,27,36,35,15,0,0,0,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,N
0,2,2,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,2,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,N
0,2,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
104,536,197,10,131,253,244,87,0,1,15,14,14,37,29,0,0,0,0,0,0,0,0,0,0,0,N
102,537,191,10,129,254,243,86,0,1,15,14,14,37,36,0,0,0,0,0,0,0,0,0,0,0,N
36,269,92,0,31,84,85,30,0,1,8,4,3,18,6,0,0,0,0,0,0,0,0,0,0,0,N
56,294,127,8,73,101,130,40,0,0,6,7,6,21,15,0,0,0,0,0,0,0,0,0,0,0,N
59,266,121,7,76,110,151,48,0,0,7,7,7,22,15,0,0,1,0,0,0,0,0,0,0,0,N
66,151,128,3,60,54,66,93,0,0,3,3,2,9,461,0,0,0,0,0,0,0,0,0,0,0,N
0,0,3,0,0,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,N
0,1,10,0,0,1,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,N
8,11,3,6,20,15,16,6,0,0,3,7,2,21,17,0,0,0,0,0,0,0,0,0,2,0,N
